[INFO ] 2021-11-26 23:10:08.987 [main]  c.j.p.UserprofileApplication - Starting UserprofileApplication using Java 11.0.9 on Sergiys-MBP.MG8702 with PID 40115 (/Users/vs/Projects/job4all/profile-svc-git/profile-svc/userprofile-svc/build/classes/java/main started by vs in /Users/vs/Projects/job4all/profile-svc-git/profile-svc/userprofile-svc)
[INFO ] 2021-11-26 23:10:08.996 [main]  c.j.p.UserprofileApplication - No active profile set, falling back to default profiles: default
[INFO ] 2021-11-26 23:10:10.088 [main]  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[INFO ] 2021-11-26 23:10:10.137 [main]  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 41 ms. Found 2 JPA repository interfaces.
[INFO ] 2021-11-26 23:10:10.633 [main]  o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[INFO ] 2021-11-26 23:10:10.643 [main]  o.a.c.c.StandardService - Starting service [Tomcat]
[INFO ] 2021-11-26 23:10:10.643 [main]  o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.53]
[INFO ] 2021-11-26 23:10:10.730 [main]  o.a.c.c.C.[.[.[/profile/api/latest] - Initializing Spring embedded WebApplicationContext
[INFO ] 2021-11-26 23:10:10.731 [main]  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1695 ms
[INFO ] 2021-11-26 23:10:10.916 [main]  o.f.c.i.l.VersionPrinter - Flyway Community Edition 7.7.3 by Redgate
[INFO ] 2021-11-26 23:10:11.000 [main]  o.f.c.i.d.b.DatabaseType - Database: jdbc:postgresql://localhost:5432/j4a (PostgreSQL 14.0)
[WARN ] 2021-11-26 23:10:11.004 [main]  o.f.c.i.d.b.Database - Flyway upgrade recommended: org.flywaydb.core.internal.database.postgresql.PostgreSQLDatabaseType@448086ab 14.0 is newer than this version of Flyway and support has not been tested. The latest supported version of org.flywaydb.core.internal.database.postgresql.PostgreSQLDatabaseType@448086ab is 13.
